id,sourceNo,location,locationCode,locationNo,localName,scientificName,family,usedParts,processing,plantCategories,plantCategoryCount,diseaseCategories,diseaseCategoryCount
284,272,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,40,Sri rezeki,Aglaonema nitidum (Jack) Kunth,Araceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik; Tanaman Toksik,2,,0
285,273,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,41,Lengkeng,Dimocarpus longan Lour.,Sapindaceae,Daging buah atau aril; perikarp; biji; daun; bunga.,"Buah dikonsumsi; perikarp, biji, daun, dan bunga dibuat ekstrak atau fraksi untuk kajian fitokimia dan farmakologi.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
286,274,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,42,Musa,Musa basjoo Siebold ex Miq.,Musaceae,Daun kering,Daun dikeringkan dan dibuat ekstrak kasar; fraksi ekstrak diuji pada kultur sel kanker kolorektal HT29 dan HCT116.,Tanaman Obat; Tanaman Estetik,2,Gangguan Onkologi (Kanker),1
287,275,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,43,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
288,276,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,44,Helikonia gantung,Heliconia rostrata Ruiz & Pav.,Heliconiaceae,Rimpang,"Rimpang diekstraksi dengan etanol dan metanol; ekstrak diuji pada sel HepG2, jaringan hati ex vivo, serta model tikus cedera hati kimia.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pencernaan,1
289,277,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,45,Mahang,Macaranga tanarius (L.) Müll.Arg.,Euphorbiaceae,Daun,"Daun diekstraksi dan dipartisi; fraksi etil asetat dipisahkan dengan kromatografi untuk isolasi prenilflavonoid, kemudian diuji terhadap asetilkolinesterase dan dianalisis dengan docking.",Tanaman Obat; Tanaman Estetik; Tanaman Liar,3,Gangguan Sistem Saraf,1
290,278,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,46,Kamboja putih,Plumeria alba L.,Apocynaceae,Bunga,Bunga diekstraksi dengan metanol; komponen dianalisis menggunakan GC-MS dan ekstrak diuji terhadap bakteri serta jamur secara in vitro.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Penyakit Infeksi,1
291,279,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,47,Sambang dara,Phyllanthus nivosus W.Bull,Phyllanthaceae,Bagian aerial.,"Bagian aerial dimaserasi menggunakan metanol dan diklorometana; ekstrak digunakan dalam uji in vitro/ex vivo dan diberikan oral pada model diabetes tikus. Studi lain menggunakan ekstrak metanol dan campuran poliherbal, tetapi bagian tanaman tidak dinyatakan jelas pada metadata yang dapat diverifikasi.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin,4
292,280,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,48,Pucuk merah,Syzygium myrtifolium Walp.,Myrtaceae,Daun.,"Daun diekstraksi menggunakan pelarut berbeda; ekstrak diuji terhadap bakteri, jamur, dan virus secara in vitro.",Tanaman Obat; Tanaman Estetik,2,Penyakit Infeksi,1
293,281,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,49,Gandarusa,Justicia gendarussa Burm.f.,Acanthaceae,Akar; batang dan batang muda; daun; bagian aerial.,"Daun, batang muda, akar, atau bagian aerial digunakan sebagai dekokta, infusa, perasan/juice, pasta, atau sediaan tradisional; penelitian menggunakan ekstrak air, etanol, metanol, kloroform, fraksi, dan senyawa terisolasi. Ekstrak atau senyawa diberikan oral maupun diuji in vitro sesuai desain penelitian.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
294,282,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,50,Biola cantik,Ficus lyrata Warb.,Moraceae,Kulit batang; buah dalam catatan penggunaan pangan.,"Kulit batang dikeringkan dan dibuat ekstrak yang diberikan secara oral pada tikus dengan penyakit hati berlemak akibat diet tinggi lemak. Buah tercatat sebagai bahan pangan dalam basis data penggunaan, tetapi tidak digunakan sebagai dasar aktivitas farmakologi studi kulit batang.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi,4
295,283,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,51,Lidah mertua,Dracaena trifasciata (Prain) Mabb.,Asparagaceae,Daun; rimpang; akar.,"Daun, rimpang, dan akar digunakan sebagai perasan, rebusan/dekokta, infusa, atau pasta/balur dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, n-heksana, kloroform, dan fraksi pelarut yang diberikan secara oral atau topikal maupun diuji in vitro.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi,9
296,284,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,52,Sawo,Manilkara zapota (L.) P.Royen,Sapotaceae,Buah dan daging buah; kulit buah; biji; daun; kulit batang; lateks.,"Buah matang dikonsumsi segar atau diolah sebagai pangan. Biji, daun, dan kulit batang digunakan secara tradisional sebagai rebusan atau sediaan lain. Penelitian memakai ekstrak air, etanol, metanol, petroleum eter, fraksi, serta uji in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),11
297,285,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,53,Sirsak,Annona muricata L.,Annonaceae,Buah dan daging buah; daun; kulit batang; akar; biji.,"Buah dikonsumsi segar atau diolah sebagai pangan. Penggunaan tradisional mencakup infusa, dekokta, atau aplikasi topikal. Penelitian menggunakan ekstrak air, etanol, metanol, fraksinasi, isolasi senyawa, serta uji in vitro dan model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Ginekologi dan Obstetri; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
298,286,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,54,Mondokaki,Tabernaemontana divaricata (L.) R.Br. ex Roem. & Schult.,Apocynaceae,"Daun, bunga, akar, kulit batang, dan lateks","Bagian tanaman digunakan secara tradisional sebagai rebusan, infus, tumbukan atau sediaan topikal; penelitian menggunakan ekstrak air dan pelarut organik. Lateks memerlukan kehati-hatian.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),5
299,287,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,55,Pepaya,Carica papaya L.,Caricaceae,Akar; batang dan kulit batang; daun; bunga; buah matang dan mentah; kulit buah; biji; getah/lateks dan papain.,"Buah matang dikonsumsi segar, dibuat jus, atau diolah sebagai pangan; buah muda dimasak. Daun, akar, dan kulit batang dibuat infusa/dekokta atau perasan. Penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak biji, lateks/papain, fraksi, dan nanopartikel berbasis ekstrak.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),9
300,288,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,56,Belimbing wuluh,Averrhoa bilimbi L.,Oxalidaceae,"Buah, daun, dan bunga","Buah digunakan sebagai bahan pangan/asam, dimasak atau dibuat jus; daun dan bunga digunakan sebagai rebusan atau ekstrak. Konsumsi jus buah pekat dalam jumlah besar harus dihindari.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pernapasan; Gangguan Endokrin; Penyakit Infeksi,4
301,289,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,57,Pepaya Jepang,Cnidoscolus aconitifolius (Mill.) I.M.Johnst.,Euphorbiaceae,Daun dan pucuk muda,Daun/pucuk muda harus dimasak atau direbus memadai sebelum dikonsumsi; bahan juga dikeringkan atau diekstraksi untuk penelitian. Daun mentah tidak dianjurkan karena senyawa sianogenik dan iritan.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Endokrin,2
302,290,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,58,Kelapa,Cocos nucifera L.,Arecaceae,"Akar; daun; bunga/perbungaan; buah (air kelapa/endosperma cair, daging/endosperma padat, santan, minyak, sabut/mesokarp, dan tempurung/endokarp).","Air dan daging buah digunakan segar; daging diperas menjadi santan; minyak diperoleh dari kopra/daging buah; akar, daun, bunga, sabut, tempurung, dan bagian buah dibuat sebagai dekokta atau ekstrak air, etanol, metanol, dan pelarut lain untuk pengujian; beberapa sediaan digunakan oral atau topikal sesuai literatur.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),8
303,291,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,59,Cissus,Cissus verticillata (L.) Nicolson & C.E.Jarvis,Vitaceae,Daun,Daun diekstraksi dengan metanol; fraksi larut metanol diberikan secara oral pada tikus diabetes yang diinduksi aloksan untuk evaluasi glukosa darah.,Tanaman Obat; Tanaman Estetik,2,Gangguan Endokrin,1
304,292,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,60,Sembung rambat,Mikania micrantha Kunth,Asteraceae,Daun,"Daun digunakan secara tradisional sebagai balur pada luka; pada penelitian, daun diekstraksi dan sediaan ekstrak diuji secara topikal untuk penyembuhan luka.",Tanaman Obat; Tanaman Liar; Tanaman Buah dan Sayuran,3,Gangguan Kulit (Dermatologi),1
305,293,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,61,Ara,Ficus callosa Willd.,Moraceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
306,294,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,62,Sirih hutan,Piper aduncum L.,Piperaceae,"Daun, buah, akar, dan minyak atsiri bagian aerial.","Daun dan akar dibuat sebagai dekokta atau ekstrak; minyak atsiri diperoleh dengan hidrodistilasi dan dianalisis menggunakan GC-MS, kemudian diuji in vitro terhadap bakteri, jamur, dan protozoa.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Liar,4,Gangguan Sistem Pencernaan; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),4
307,295,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,63,Akasia,Acacia auriculiformis A.Cunn. ex Benth.,Fabaceae,Kulit batang; daun atau filodia; polong dan biji; akar,"Dalam penggunaan tradisional bagian tanaman dibuat dekok atau pasta. Pada penelitian, bahan dikeringkan lalu diekstraksi menggunakan air, alkohol, atau pelarut organik sesuai pengujian.",Tanaman Obat; Tanaman Estetik,2,Gangguan Kulit (Dermatologi); Penyakit Infeksi,2
308,296,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,64,Jambu air,Syzygium samarangense (Blume) Merr. & L.M.Perry,Myrtaceae,Buah; daun; kulit batang; akar; bunga; biji.,"Buah dikonsumsi segar atau diolah menjadi minuman, selai, jeli, cuka, dan produk pangan. Penggunaan tradisional mencakup infusa atau dekokta. Penelitian menggunakan ekstrak air, etanol, metanol, fraksi, minyak, dan senyawa terisolasi untuk uji in vitro atau model hewan.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Psikiatri; Gangguan Endokrin; Gangguan Imunologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),10
309,297,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,65,Pepaya,Carica papaya L.,Caricaceae,Akar; batang dan kulit batang; daun; bunga; buah matang dan mentah; kulit buah; biji; getah/lateks dan papain.,"Buah matang dikonsumsi segar, dibuat jus, atau diolah sebagai pangan; buah muda dimasak. Daun, akar, dan kulit batang dibuat infusa/dekokta atau perasan. Penelitian menggunakan ekstrak air, etanol, metanol, hidroalkohol, minyak biji, lateks/papain, fraksi, dan nanopartikel berbasis ekstrak.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Gangguan Hematologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),9
310,298,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,66,Manihot,Manihot esculenta Crantz,Euphorbiaceae,Akar umbi; daun; batang,"Akar umbi dikupas, direndam atau difermentasi, kemudian dimasak atau direbus hingga matang untuk menurunkan glikosida sianogenik. Daun juga harus dimasak; pada penelitian digunakan ekstrak air atau pelarut.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),5
311,299,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,67,Mangga,Mangifera indica L.,Anacardiaceae,Akar; kulit batang; daun; bunga; buah dan daging buah; kulit buah; biji/kernel; getah/lateks.,"Buah dikonsumsi segar atau sebagai jus dan produk pangan. Daun, kulit batang, kulit buah, akar, bunga, dan kernel dibuat infusa/dekokta atau diekstraksi dengan air, etanol, metanol, hidroalkohol, dan pelarut lain. Fraksi, mangiferin, polifenol, serta produk seperti ekstrak kulit batang juga diteliti.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Endokrin; Gangguan Imunologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),8
312,300,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,68,Palem kipas,Licuala grandis (T.Moore) H.Wendl.,Arecaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
313,301,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,69,Srikaya,Annona squamosa L.,Annonaceae,Daging buah; daun; kulit batang dan ranting; akar; biji,Buah matang dikonsumsi segar. Daun atau kulit batang digunakan sebagai dekok atau ekstrak; biji diekstraksi dengan pelarut untuk pengujian antimikroba dan sitotoksik serta tidak digunakan sebagai pangan.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pencernaan; Gangguan Endokrin; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
314,302,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,70,Tabebuya merah muda,Tabebuia rosea (Bertol.) DC.,Bignoniaceae,Bunga; kulit batang; daun,"Bunga dikeringkan lalu diekstraksi dan difraksinasi, termasuk fraksi etil asetat untuk pengujian laboratorium. Kulit batang atau daun dilaporkan digunakan sebagai dekok atau ekstrak tradisional.",Tanaman Obat; Tanaman Estetik,2,Gangguan Imunologi,1
315,303,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,71,Alpukat,Persea americana Mill.,Lauraceae,Akar; kulit batang dan batang; daun; bunga; buah dan kulit buah; biji.,"Buah dikonsumsi segar atau sebagai pangan olahan. Daun, akar, dan kulit batang digunakan sebagai infusa/dekokta; daun, biji, kulit buah, dan bagian lain diekstraksi dengan air, etanol, metanol, hidroalkohol, atau pelarut lain untuk uji farmakologi. Minyak buah/biji dan fraksi/isolat juga dilaporkan.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik; Tanaman Buah dan Sayuran,4,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Urologi; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),10
316,304,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,72,Osmoxylon,Osmoxylon lineare (Merr.) Philipson,Araliaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
317,305,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,73,Sinyo nakal,Duranta erecta L.,Verbenaceae,Daun; buah; bunga; akar; kulit batang atau batang.,"Penggunaan tradisional mencakup dekokta dan aplikasi lokal. Penelitian memakai ekstrak air, etanol, metanol, fraksinasi, minyak atsiri, dan senyawa terisolasi untuk uji antimikroba, antiinflamasi, antihiperglikemik, sitotoksik, dan toksikologi.",Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Endokrin; Gangguan Imunologi; Penyakit Infeksi; Gangguan Onkologi (Kanker),4
318,306,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,74,Cemara laut,Casuarina equisetifolia L.,Casuarinaceae,Akar; kulit batang; ranting hijau/branchlets dan daun sisik; bunga/perbungaan; buah atau runjung; biji.,"Bagian tanaman digunakan sebagai rebusan/dekokta dalam laporan tradisional. Penelitian menggunakan ekstrak air, etanol, metanol, metanol 80%, serta fraksi pelarut; ekstrak buah metanol diuji antiartritis, ekstrak bagian vegetatif diuji antimikroba/sitotoksik, ekstrak diuji nefroprotektif secara oral, dan ekstrak etanol perbungaan diuji toksisitas akut.",Tanaman Obat; Tanaman Estetik,2,Gangguan Sistem Pernapasan; Gangguan Sistem Pencernaan; Gangguan Ginjal; Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Kulit (Dermatologi); Penyakit Infeksi; Gangguan Onkologi (Kanker),9
319,307,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,75,Walisongo kerdil,Heptapleurum arboricola Hayata,Araliaceae,Daun dan sediaan tablet berbasis bahan Schefflera arboricola; getah/daun sebagai sumber paparan toksik.,Tablet berbasis Schefflera arboricola diberikan secara oral pada tikus dengan neuropati diabetik yang diinduksi streptozotosin. Daun dan getah tidak direkomendasikan untuk konsumsi langsung karena kristal kalsium oksalat dapat mengiritasi jaringan mulut dan kulit.,Tanaman Obat; Tanaman Estetik; Tanaman Toksik,3,Gangguan Sistem Saraf; Gangguan Endokrin; Gangguan Imunologi,3
320,308,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,76,Lili paris oranye,Chlorophytum orchidastrum Lindl.,Asparagaceae,Belum ditemukan bagian terapeutik yang terverifikasi.,Belum ditemukan cara pengolahan terapeutik yang terverifikasi.,Tanaman Estetik,1,,0
321,309,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,77,Teratai,Nelumbo nucifera Gaertn.,Nelumbonaceae,Rimpang; daun; bunga; biji; embrio biji,"Rimpang dan biji dikonsumsi setelah dimasak atau direbus. Daun, biji, embrio biji, dan bunga digunakan sebagai dekok atau dibuat ekstrak pada kajian farmakologi.",Tanaman Obat; Tanaman Estetik; Tanaman Buah dan Sayuran,3,Gangguan Kardiovaskular; Gangguan Sistem Pencernaan; Gangguan Sistem Saraf; Gangguan Endokrin,4
322,310,Fakultas Ilmu Sosial dan Ilmu Politik,FISIP,78,Nephrolepis,Nephrolepis cordifolia (L.) C.Presl,Nephrolepidaceae,"Ental muda, umbi atau rimpang, dan bagian aerial.",Ental muda dan umbi digunakan sebagai pangan setelah pengolahan yang sesuai; ekstrak etanol dan fraksi etil asetat diuji in vitro serta pada model diabetes aloksan pada tikus.,Tanaman Obat; Tanaman Estetik; Tanaman Liar; Tanaman Buah dan Sayuran,4,Gangguan Sistem Pernapasan; Gangguan Endokrin; Gangguan Reumatologi; Gangguan Nutrisi,4
